0,None
135,Adamant Orb
162,Aguav Berry
146,Air Mail
223,Amulet Coin
18,Antidote
205,Apicot Berry
468,Apricorn Box
104,Armor Fossil
153,Aspear Berry
21,Awakening
455,Azure Flute
199,Babiri Berry
476,Basement Key
183,Belue Berry
43,Berry Juice
470,Berry Pots
450,Bicycle
87,Big Mushroom
89,Big Pearl
296,Big Root
241,Black Belt
68,Black Flute
281,Black Sludge
240,BlackGlasses
491,Blk Apricorn
140,Bloom Mail
487,Blu Apricorn
472,Blue Card
65,Blue Flute
535,Blue Orb
261,Blue Scarf
73,Blue Shard
165,Bluk Berry
148,Brick Mail
213,BrightPowder
139,Bubble Mail
19,Burn Heal
49,Calcium
48,Carbos
475,Card Key
249,Charcoal
195,Charti Berry
149,Cheri Berry
16,Cherish Ball
150,Chesto Berry
200,Chilan Berry
220,Choice Band
287,Choice Scarf
297,Choice Specs
189,Chople Berry
100,Claw Fossil
224,Cleanse Tag
474,Clear Bell
192,Coba Berry
444,Coin Case
198,Colbur Berry
457,Contest Pass
175,Cornn Berry
460,Coupon 1
461,Coupon 2
462,Coupon 3
210,Custap Berry
96,Damp Mulch
285,Damp Rock
505,Data Card 01
506,Data Card 02
507,Data Card 03
508,Data Card 04
509,Data Card 05
510,Data Card 06
511,Data Card 07
512,Data Card 08
513,Data Card 09
514,Data Card 10
515,Data Card 11
516,Data Card 12
517,Data Card 13
518,Data Card 14
519,Data Card 15
520,Data Card 16
521,Data Card 17
522,Data Card 18
523,Data Card 19
524,Data Card 20
525,Data Card 21
526,Data Card 22
527,Data Card 23
528,Data Card 24
529,Data Card 25
530,Data Card 26
531,Data Card 27
109,Dawn Stone
227,DeepSeaScale
226,DeepSeaTooth
280,Destiny Knot
56,Dire Hit
7,Dive Ball
102,Dome Fossil
471,Dowsing MCHN
311,Draco Plate
250,Dragon Fang
235,Dragon Scale
312,Dread Plate
324,Dubious Disc
182,Durin Berry
13,Dusk Ball
108,Dusk Stone
305,Earth Plate
322,Electirizer
40,Elixir
35,Energy Root
34,EnergyPowder
208,Enigma Berry
536,Enigma Stone
78,Escape Rope
38,Ether
229,Everstone
216,Exp. Share
268,Expert Belt
428,Explorer Kit
435,Fashion Case
492,Fast Ball
159,Figy Berry
82,Fire Stone
303,Fist Plate
138,Flame Mail
273,Flame Orb
298,Flame Plate
64,Fluffy Tail
230,Focus Band
275,Focus Sash
30,Fresh Water
497,Friend Ball
27,Full Heal
316,Full Incense
23,Full Restore
440,Galactic Key
202,Ganlon Berry
502,GB Sounds
446,Good Rod
98,Gooey Mulch
466,Gracidea
137,Grass Mail
3,Great Ball
263,Green Scarf
75,Green Shard
173,Grepa Berry
286,Grip Claw
112,Griseous Orb
488,Grn Apricorn
95,Growth Mulch
55,Guard Spec.
197,Haban Berry
238,Hard Stone
14,Heal Ball
36,Heal Powder
143,Heart Mail
93,Heart Scale
284,Heat Rock
495,Heavy Ball
101,Helix Fossil
420,HM01
421,HM02
422,HM03
423,HM04
424,HM05
425,HM06
426,HM07
427,HM08
172,Hondew Berry
94,Honey
45,HP Up
25,Hyper Potion
163,Iapapa Berry
20,Ice Heal
302,Icicle Plate
282,Icy Rock
308,Insect Plate
47,Iron
278,Iron Ball
313,Iron Plate
211,Jaboca Berry
532,Jade Orb
433,Journal
196,Kasib Berry
190,Kebia Berry
170,Kelpsy Berry
221,King's Rock
279,Lagging Tail
206,Lansat Berry
42,Lava Cookie
255,Lax Incense
85,Leaf Stone
234,Leftovers
32,Lemonade
154,Leppa Berry
493,Level Ball
201,Liechi Berry
270,Life Orb
236,Light Ball
269,Light Clay
533,Lock Capsule
429,Loot Sack
479,Lost Item
496,Love Ball
319,Luck Incense
231,Lucky Egg
256,Lucky Punch
157,Lum Berry
453,Lunar Wing
494,Lure Ball
136,Lustrous Orb
11,Luxury Ball
481,Machine Part
215,Macho Brace
458,Magma Stone
323,Magmarizer
242,Magnet
161,Mago Berry
176,Magost Berry
1,Master Ball
41,Max Elixir
39,Max Ether
24,Max Potion
77,Max Repel
29,Max Revive
301,Meadow Plate
454,Member Card
219,Mental Herb
233,Metal Coat
257,Metal Powder
277,Metronome
209,Micle Berry
307,Mind Plate
239,Miracle Seed
33,Moomoo Milk
498,Moon Ball
81,Moon Stone
147,Mosaic Mail
266,Muscle Band
484,Mystery Egg
243,Mystic Water
166,Nanab Berry
8,Nest Ball
6,Net Ball
246,NeverMeltIce
178,Nomel Berry
92,Nugget
452,Oak's Letter
184,Occa Berry
314,Odd Incense
111,Odd Keystone
103,Old Amber
439,Old Charm
54,Old Gateau
445,Old Rod
155,Oran Berry
110,Oval Stone
437,Pal Pad
180,Pamtre Berry
459,Parcel
500,Park Ball
22,Parlyz Heal
480,Pass
185,Passho Berry
193,Payapa Berry
88,Pearl
151,Pecha Berry
156,Persim Berry
204,Petaya Berry
501,Photo Album
168,Pinap Berry
262,Pink Scarf
489,Pnk Apricorn
449,Poffin Case
432,Point Card
245,Poison Barb
4,Poké Ball
63,Poké Doll
431,Poké Radar
169,Pomeg Berry
17,Potion
293,Power Anklet
292,Power Band
290,Power Belt
289,Power Bracer
271,Power Herb
291,Power Lens
294,Power Weight
53,PP Max
51,PP Up
12,Premier Ball
321,Protector
46,Protein
320,Pure Incense
171,Qualot Berry
15,Quick Ball
217,Quick Claw
274,Quick Powder
177,Rabuta Berry
504,RageCandyBar
483,Rainbow Wing
106,Rare Bone
50,Rare Candy
152,Rawst Berry
326,Razor Claw
327,Razor Fang
164,Razz Berry
325,Reaper Cloth
485,Red Apricorn
441,Red Chain
67,Red Flute
534,Red Orb
478,Red Scale
260,Red Scarf
72,Red Shard
9,Repeat Ball
79,Repel
37,Revival Herb
28,Revive
187,Rindo Berry
315,Rock Incense
99,Root Fossil
318,Rose Incense
212,Rowap Berry
430,Rule Book
456,S.S. Ticket
44,Sacred Ash
5,Safari Ball
203,Salac Berry
232,Scope Lens
254,Sea Incense
436,Seal Bag
434,Seal Case
467,Secret Key
464,SecretPotion
244,Sharp Beak
295,Shed Shell
253,Shell Bell
107,Shiny Stone
70,Shoal Salt
71,Shoal Shell
191,Shuca Berry
251,Silk Scarf
482,Silver Wing
222,SilverPowder
158,Sitrus Berry
105,Skull Fossil
306,Sky Plate
473,SlowpokeTail
228,Smoke Ball
283,Smooth Rock
144,Snow Mail
31,Soda Pop
237,Soft Sand
218,Soothe Bell
225,Soul Dew
145,Space Mail
247,Spell Tag
179,Spelon Berry
299,Splash Plate
310,Spooky Plate
499,Sport Ball
448,Sprayduck
477,SquirtBottle
97,Stable Mulch
91,Star Piece
90,Stardust
207,Starf Berry
142,Steel Mail
259,Stick
288,Sticky Barb
309,Stone Plate
463,Storage Key
451,Suite Key
80,Sun Stone
26,Super Potion
76,Super Repel
447,Super Rod
174,Tamato Berry
194,Tanga Berry
258,Thick Club
83,Thunder Stone
503,Tidal Bell
10,Timer Ball
86,TinyMushroom
328,TM01
329,TM02
330,TM03
331,TM04
332,TM05
333,TM06
334,TM07
335,TM08
336,TM09
337,TM10
338,TM11
339,TM12
340,TM13
341,TM14
342,TM15
343,TM16
344,TM17
345,TM18
346,TM19
347,TM20
348,TM21
349,TM22
350,TM23
351,TM24
352,TM25
353,TM26
354,TM27
355,TM28
356,TM29
357,TM30
358,TM31
359,TM32
360,TM33
361,TM34
362,TM35
363,TM36
364,TM37
365,TM38
366,TM39
367,TM40
368,TM41
369,TM42
370,TM43
371,TM44
372,TM45
373,TM46
374,TM47
375,TM48
376,TM49
377,TM50
378,TM51
379,TM52
380,TM53
381,TM54
382,TM55
383,TM56
384,TM57
385,TM58
386,TM59
387,TM60
388,TM61
389,TM62
390,TM63
391,TM64
392,TM65
393,TM66
394,TM67
395,TM68
396,TM69
397,TM70
398,TM71
399,TM72
400,TM73
401,TM74
402,TM75
403,TM76
404,TM77
405,TM78
406,TM79
407,TM80
408,TM81
409,TM82
410,TM83
411,TM84
412,TM85
413,TM86
414,TM87
415,TM88
416,TM89
417,TM90
418,TM91
419,TM92
442,Town Map
272,Toxic Orb
304,Toxic Plate
141,Tunnel Mail
248,TwistedSpoon
2,Ultra Ball
469,Unown Report
252,Up-Grade
465,Vs. Recorder
443,Vs. Seeker
186,Wacan Berry
84,Water Stone
181,Watmel Berry
317,Wave Incense
167,Wepear Berry
69,White Flute
214,White Herb
490,Wht Apricorn
265,Wide Lens
160,Wiki Berry
267,Wise Glasses
438,Works Key
60,X Accuracy
57,X Attack
58,X Defend
62,X Sp. Def
61,X Special
59,X Speed
188,Yache Berry
66,Yellow Flute
264,Yellow Scarf
74,Yellow Shard
486,Ylw Apricorn
300,Zap Plate
52,Zinc
276,Zoom Lens
